Date,Open,High,Low,Close,Volume
2017-08-03,36.55,36.59,36.15,36.49,26611347
2017-08-04,36.45,36.56,36.1,36.3,20520301
2017-08-07,36.39,36.55,36.22,36.43,18169335
2017-08-08,36.37,36.7,36.3,36.41,22819871
2017-08-09,36.28,36.66,36.02,36.59,22796797
2017-08-10,36.4,36.56,36.11,36.14,22693316
2017-08-11,36.26,36.4,35.79,35.87,19275060
2017-08-14,36.12,36.47,36.08,36.34,18469448
2017-08-15,36.3,36.32,35.82,36.0,21706563
2017-08-16,35.98,36.07,35.56,35.81,22013991
2017-08-17,35.6,35.68,35.17,35.17,19524961
2017-08-18,35.29,35.31,34.99,35.01,16231408
2017-08-21,35.09,35.28,34.7,34.92,26493271
2017-08-22,35.02,35.19,34.62,34.65,26097791
2017-08-23,34.54,34.81,34.38,34.66,19648134
2017-08-24,34.7,34.89,34.55,34.71,14301892
2017-08-25,34.82,34.93,34.58,34.67,14726829
2017-08-28,34.78,34.8,34.59,34.65,20712876
2017-08-29,34.51,34.75,34.46,34.73,15843668
2017-08-30,34.75,34.96,34.63,34.89,18565007
2017-08-31,34.94,35.18,34.87,35.07,16366772
2017-09-01,35.24,35.39,35.07,35.09,12821972
2017-09-05,35.02,35.33,34.93,35.02,19300594
2017-09-06,35.22,35.94,35.11,35.76,28076438
2017-09-07,35.88,35.95,35.33,35.54,16297077
2017-09-08,35.19,35.54,35.08,35.19,14125018
2017-09-11,35.49,36.0,35.14,35.77,20037575
2017-09-12,35.88,36.34,35.74,36.09,19489892
2017-09-13,36.0,36.4,35.97,36.33,15509787
2017-09-14,36.19,36.7,36.16,36.48,18093946
2017-09-15,36.55,37.08,36.22,37.0,33596072
2017-09-18,37.0,37.33,36.8,37.0,19393834
2017-09-19,37.2,37.3,37.02,37.23,23850525
2017-09-20,37.23,37.29,36.66,37.07,23957476
2017-09-21,36.99,37.27,36.85,37.2,22954158
2017-09-22,36.95,37.22,36.95,37.18,21631754
2017-09-25,37.05,37.23,36.85,37.16,23180838
2017-09-26,37.21,37.64,37.0,37.47,29790369
2017-09-27,37.62,37.69,37.1,37.54,25727062
2017-09-28,37.32,37.88,37.29,37.83,21171441
2017-09-29,37.84,38.15,37.7,38.08,23217336
2017-10-02,38.12,39.09,38.08,39.04,37394514
2017-10-03,38.95,39.7,38.95,39.38,34002193
2017-10-04,39.39,39.4,38.86,39.34,28368824
2017-10-05,39.5,39.65,39.21,39.53,17710277
2017-10-06,39.6,39.89,39.42,39.63,18887536
2017-10-09,39.68,39.88,39.52,39.86,18494080
2017-10-10,39.93,39.95,39.38,39.65,29890017
2017-10-11,39.48,39.67,39.06,39.3,30754708
2017-10-12,39.35,39.39,38.98,39.19,18286944
2017-10-13,39.44,39.81,39.28,39.67,16829366
2017-10-16,39.71,39.79,39.44,39.76,12489135
2017-10-17,39.56,39.86,39.37,39.79,15532818
2017-10-18,39.8,40.29,39.6,40.25,21424554
2017-10-19,39.88,40.33,39.83,40.09,19222705
2017-10-20,40.33,40.45,40.1,40.43,18335672
2017-10-23,40.55,41.04,40.4,40.83,28646966
2017-10-24,41.0,41.05,40.72,40.95,19652417
2017-10-25,40.89,41.06,40.49,40.78,24031660
2017-10-26,40.91,41.58,40.71,41.35,38247395
2017-10-27,43.3,45.0,43.1,44.4,90028300
2017-10-30,44.48,45.19,43.88,44.37,48161518
2017-10-31,45.2,45.8,44.65,45.49,47000920
2017-11-01,45.97,46.71,45.59,46.71,47813724
2017-11-02,46.61,47.23,46.21,47.1,44602250
2017-11-03,47.2,47.3,45.6,46.34,39298110
2017-11-06,46.6,46.74,46.09,46.7,34034971
2017-11-07,46.7,47.09,46.39,46.78,24461371
2017-11-08,46.62,46.7,46.28,46.7,21565759
2017-11-09,46.05,46.39,45.65,46.3,25570358
2017-11-10,46.04,46.09,45.38,45.58,24095354
2017-11-13,45.26,45.94,45.25,45.75,18999002
2017-11-14,45.7,45.92,45.32,45.86,22201170
2017-11-15,45.39,45.8,45.17,45.46,17157204
2017-11-16,45.63,46.07,45.46,45.65,26439406
2017-11-17,45.5,45.62,44.62,44.63,63798040
2017-11-20,44.73,45.12,44.5,44.62,22420003
